Teacher_ID,First_Name,Last_Name,Region,Age,Years_Experience,Educational_Attainment,Major_Specialization,Subject_Taught,Certification_Level,Fragility_Indicator
2026-STAR-0757,Eduardo,Garcia,CAR,43,13,PhD STEM,Chemistry,General Science,Level 1,High
2026-STAR-0758,Roberto,Aquino,Region XI,44,19,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0759,Carlos,Santos,Region VI,27,22,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0760,Ricardo,Mendoza,Region XIII,56,11,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0761,Ana,Bautista,Region VII,33,28,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0762,Carmen,Navarro,Region XII,51,6,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0763,Ricardo,Rizal,BARMM,37,5,BS Science,Mathematics,Physics,Level 1,High
2026-STAR-0764,Teresa,Rizal,Region XI,48,30,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0765,Rosa,Rizal,Region XIII,52,15,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0766,Jose,Villanueva,Region VI,33,15,BS Science,General Science,Biology,Level 1,High
2026-STAR-0767,Ramon,Cruz,Region VIII,28,5,PhD STEM,Unrelated / Not Specified,General Science,Level 1,High
2026-STAR-0768,Carlos,Lopez,Region IV-A,50,19,Bachelor of Secondary Education,Mathematics,Chemistry,Level 1,High
2026-STAR-0769,Maria,Mendoza,Region XIII,25,16,BS Science,Unrelated / Not Specified,Physics,Level 3,High
2026-STAR-0770,Rosa,Tolentino,Region II,39,17,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0771,Pedro,Tolentino,Region VI,29,7,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0772,Jose,Alvarez,Region III,48,18,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0773,Antonio,Cruz,CAR,49,21,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0774,Beatriz,Dela Cruz,Region X,37,28,PhD STEM,Unrelated / Not Specified,Chemistry,Level 3,High
2026-STAR-0775,Ricardo,Rodriguez,Region XIII,52,31,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0776,Miguel,Dela Cruz,Region IX,26,12,PhD STEM,Unrelated / Not Specified,General Science,Level 2,High
2026-STAR-0777,Carlos,Ramos,Region II,40,29,PhD STEM,Unrelated / Not Specified,Physics,Level 2,High
2026-STAR-0778,Roberto,Navarro,Region IX,31,30,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0779,Miguel,Torres,Region VII,38,9,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0780,Elena,Tolentino,Region IV-A,48,14,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0781,Luz,Fernandez,Region IV-B,29,20,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0782,Miguel,Rodriguez,Region V,35,23,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0783,Carmela,Garcia,Region X,24,10,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0784,Eduardo,Tolentino,Region XII,50,4,PhD STEM,Physics,Mathematics,Level 1,High
2026-STAR-0785,Ana,Bautista,Region III,41,26,Master of Arts in Ed,Physics,General Science,Level 1,High
2026-STAR-0786,Lourdes,Perez,Region IX,28,16,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0787,Rosa,Perez,CAR,38,20,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0788,Maria,Cruz,Region IX,30,22,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0789,Juan,Torres,Region IV-A,48,21,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0790,Pedro,Torres,Region XII,43,21,PhD STEM,Unrelated / Not Specified,Chemistry,Level 2,High
2026-STAR-0791,Pilar,Mendoza,Region I,29,12,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0792,Teresa,Cruz,Region III,53,31,Master of Arts in Ed,Unrelated / Not Specified,Biology,Level 1,High
2026-STAR-0793,Pedro,Navarro,Region XII,46,12,Bachelor of Secondary Education,Unrelated / Not Specified,Mathematics,Level 1,High
2026-STAR-0794,Teresa,Cruz,Region III,39,13,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0795,Ana,Navarro,Region X,23,25,Bachelor of Secondary Education,Physics,General Science,Level 1,High
2026-STAR-0796,Pedro,Santos,BARMM,29,8,Master of Arts in Ed,Physics,Mathematics,Level 1,High
2026-STAR-0797,Roberto,Gonzales,Region V,26,19,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0798,Pilar,Lopez,Region IV-B,47,15,PhD STEM,Unrelated / Not Specified,Chemistry,Level 3,High
2026-STAR-0799,Teresa,Navarro,Region III,53,6,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0800,Luz,Alvarez,Region VI,50,20,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0801,Juan,Perez,Region X,53,30,Master of Arts in Ed,Unrelated / Not Specified,General Science,Level 3,High
2026-STAR-0802,Carlos,Rodriguez,Region XII,57,13,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0803,Beatriz,Aquino,NCR,28,26,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0804,Ramon,Garcia,Region X,29,21,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0805,Beatriz,Dela Cruz,Region XII,48,8,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0806,Carmen,Reyes,Region XII,26,26,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0807,Roberto,Reyes,Region III,33,8,Master of Arts in Ed,Mathematics,General Science,Level 1,High
2026-STAR-0808,Roberto,Navarro,Region XII,27,11,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0809,Manuel,Ramos,Region VIII,34,5,Bachelor of Secondary Education,Chemistry,General Science,Level 1,High
2026-STAR-0810,Juan,Villanueva,Region X,48,14,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0811,Manuel,Torres,Region XIII,29,32,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0812,Juan,Gonzales,Region I,31,30,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0813,Maria,Garcia,Region IX,23,23,Bachelor of Secondary Education,Unrelated / Not Specified,Mathematics,Level 1,High
2026-STAR-0814,Antonio,Reyes,Region VI,31,4,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0815,Sofia,Dela Cruz,Region VI,28,10,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0816,Rosa,Aquino,Region VIII,33,2,Master of Arts in Ed,Biology,Physics,Level 1,High
2026-STAR-0817,Ana,Bautista,NCR,33,28,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0818,Ricardo,Torres,Region XII,24,20,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0819,Rosa,Tolentino,Region XII,23,4,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0820,Carmela,Tolentino,Region II,36,19,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0821,Miguel,Navarro,Region IV-B,23,14,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0822,Ricardo,Lopez,Region VI,50,8,PhD STEM,General Science,General Science,Level 2,Low
2026-STAR-0823,Lourdes,Cruz,Region X,34,5,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0824,Pilar,Ramos,BARMM,36,1,PhD STEM,Unrelated / Not Specified,Chemistry,Level 1,High
2026-STAR-0825,Carmela,Gonzales,CAR,41,14,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0826,Miguel,Villanueva,Region XIII,36,11,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0827,Rosa,Gomez,Region IX,30,20,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0828,Beatriz,Dela Cruz,Region III,40,8,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
2026-STAR-0829,Pilar,Navarro,Region VI,25,25,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0830,Manuel,Lopez,BARMM,38,1,Master of Arts in Ed,Unrelated / Not Specified,Mathematics,Level 1,High
2026-STAR-0831,Pedro,Santos,Region XII,31,7,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0832,Jose,Rodriguez,Region XI,42,17,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0833,Elena,Cruz,Region III,27,28,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0834,Lourdes,Gonzales,Region V,50,14,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0835,Luz,Villanueva,Region XII,26,17,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0836,Eduardo,Santos,Region V,57,21,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0837,Ramon,Torres,Region III,40,29,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0838,Ana,Gomez,Region IV-B,39,20,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0839,Teresa,Rizal,Region XIII,28,22,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0840,Elena,Rizal,CAR,49,3,PhD STEM,Unrelated / Not Specified,Physics,Level 2,High
2026-STAR-0841,Ricardo,Rodriguez,Region IV-A,31,19,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0842,Eduardo,Aquino,Region V,49,15,BS Science,Unrelated / Not Specified,Chemistry,Level 2,High
2026-STAR-0843,Ana,Navarro,Region II,24,9,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0844,Carlos,Rizal,Region IX,39,3,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0845,Pilar,Alvarez,Region VI,46,5,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0846,Maria,Alvarez,Region I,43,13,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0847,Sofia,Dela Cruz,Region VI,37,27,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0848,Pilar,Tolentino,Region XI,49,30,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0849,Maria,Lopez,Region III,49,12,Bachelor of Secondary Education,Unrelated / Not Specified,Physics,Level 3,High
2026-STAR-0850,Beatriz,Garcia,Region VII,31,28,BS Science,Mathematics,Mathematics,Level 2,Low
2026-STAR-0851,Carlos,Torres,NCR,47,22,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0852,Juan,Ramos,Region VII,28,30,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0853,Sofia,Torres,NCR,35,32,BS Science,Physics,General Science,Level 1,High
2026-STAR-0854,Rosa,Navarro,BARMM,26,2,Master of Arts in Ed,Mathematics,Mathematics,Level 1,Low
2026-STAR-0855,Pedro,Ramos,Region IV-A,48,17,Bachelor of Secondary Education,General Science,Physics,Level 1,High
2026-STAR-0856,Maria,Aquino,Region XII,47,32,Bachelor of Secondary Education,Unrelated / Not Specified,Mathematics,Level 3,High
2026-STAR-0857,Juan,Ramos,Region VIII,22,2,Master of Arts in Ed,General Science,General Science,Level 1,Low
2026-STAR-0858,Manuel,Garcia,Region IV-A,31,30,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0859,Rosa,Villanueva,Region VIII,26,9,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0860,Teresa,Cruz,Region VIII,38,4,Master of Arts in Ed,Mathematics,General Science,Level 1,High
2026-STAR-0861,Elena,Aquino,Region V,39,29,Master of Arts in Ed,Chemistry,Biology,Level 1,High
2026-STAR-0862,Beatriz,Fernandez,Region X,28,9,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0863,Rosa,Tolentino,Region X,46,14,Master of Arts in Ed,Unrelated / Not Specified,Mathematics,Level 1,High
2026-STAR-0864,Rosa,Garcia,Region VIII,26,0,Master of Arts in Ed,Chemistry,Chemistry,Level 1,Low
2026-STAR-0865,Antonio,Alvarez,Region XIII,40,22,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0866,Luz,Navarro,Region XII,33,23,PhD STEM,Unrelated / Not Specified,Chemistry,Level 3,High
2026-STAR-0867,Ramon,Ramos,Region VIII,28,3,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0868,Carlos,Torres,Region IV-B,33,5,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0869,Beatriz,Torres,Region IV-B,55,13,Bachelor of Secondary Education,Unrelated / Not Specified,Chemistry,Level 1,High
2026-STAR-0870,Manuel,Dela Cruz,Region IX,46,4,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0871,Ramon,Cruz,NCR,32,30,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0872,Roberto,Dela Cruz,Region II,48,29,Bachelor of Secondary Education,Unrelated / Not Specified,Mathematics,Level 3,High
2026-STAR-0873,Luz,Santos,Region III,52,26,BS Science,Unrelated / Not Specified,Physics,Level 3,High
2026-STAR-0874,Maria,Navarro,BARMM,33,9,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0875,Carmen,Rizal,Region XIII,56,25,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0876,Carlos,Aquino,Region X,33,3,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0877,Carlos,Bautista,Region IX,40,10,BS Science,Unrelated / Not Specified,Physics,Level 2,High
2026-STAR-0878,Roberto,Lopez,Region IX,28,29,Bachelor of Secondary Education,Unrelated / Not Specified,General Science,Level 3,High
2026-STAR-0879,Manuel,Aquino,Region IV-A,34,16,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0880,Manuel,Dela Cruz,BARMM,24,8,BS Science,Unrelated / Not Specified,Biology,Level 3,High
2026-STAR-0881,Eduardo,Tolentino,Region V,23,21,BS Science,Mathematics,Chemistry,Level 1,High
2026-STAR-0882,Beatriz,Fernandez,Region II,35,25,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0883,Elena,Rodriguez,Region II,33,8,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0884,Jose,Alvarez,Region VIII,20,8,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0885,Teresa,Santos,Region VIII,34,4,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0886,Luis,Villanueva,Region XIII,40,28,Bachelor of Secondary Education,Unrelated / Not Specified,General Science,Level 3,High
2026-STAR-0887,Lourdes,Gomez,Region VII,47,30,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0888,Ana,Gonzales,Region IV-A,29,24,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0889,Pilar,Rizal,Region XII,50,15,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0890,Pilar,Perez,Region VII,50,22,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0891,Maria,Gonzales,Region XIII,41,17,BS Science,Unrelated / Not Specified,Mathematics,Level 2,High
2026-STAR-0892,Ricardo,Villanueva,Region XIII,48,30,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0893,Eduardo,Villanueva,Region IX,37,20,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0894,Juan,Navarro,Region IX,38,27,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0895,Ana,Gomez,Region XIII,39,18,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0896,Maria,Bautista,Region VI,53,11,Master of Arts in Ed,Unrelated / Not Specified,Chemistry,Level 2,High
2026-STAR-0897,Teresa,Perez,Region I,55,4,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0898,Rosa,Rizal,Region V,46,31,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0899,Miguel,Tolentino,Region IX,52,22,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0900,Luz,Gomez,CAR,51,22,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0901,Lourdes,Fernandez,Region V,51,16,BS Science,Unrelated / Not Specified,Mathematics,Level 2,High
2026-STAR-0902,Rosa,Garcia,Region IX,50,13,Master of Arts in Ed,Physics,Biology,Level 1,High
2026-STAR-0903,Manuel,Villanueva,Region XII,52,8,Bachelor of Secondary Education,Unrelated / Not Specified,Biology,Level 3,High
2026-STAR-0904,Ricardo,Gonzales,Region III,28,19,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0905,Elena,Gomez,Region XIII,30,29,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0906,Miguel,Alvarez,Region III,27,29,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0907,Sofia,Dela Cruz,Region VI,24,32,BS Science,Unrelated / Not Specified,General Science,Level 3,High
2026-STAR-0908,Antonio,Aquino,Region V,31,12,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0909,Ricardo,Fernandez,Region V,56,8,Master of Arts in Ed,Physics,Chemistry,Level 1,High
2026-STAR-0910,Beatriz,Navarro,Region V,46,7,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0911,Lourdes,Santos,Region VI,36,15,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0912,Maria,Villanueva,NCR,32,20,PhD STEM,Biology,Chemistry,Level 1,High
2026-STAR-0913,Ricardo,Tolentino,Region XIII,55,21,BS Science,Biology,Physics,Level 1,High
2026-STAR-0914,Luis,Alvarez,Region IX,49,11,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0915,Ramon,Aquino,Region VII,48,17,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0916,Manuel,Tolentino,Region III,43,11,Master of Arts in Ed,Unrelated / Not Specified,Chemistry,Level 2,High
2026-STAR-0917,Elena,Perez,BARMM,22,4,BS Science,Unrelated / Not Specified,General Science,Level 2,High
2026-STAR-0918,Maria,Rizal,Region II,46,25,BS Science,Mathematics,Mathematics,Level 2,Low
2026-STAR-0919,Eduardo,Ramos,Region III,44,24,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0920,Ricardo,Perez,Region VI,49,23,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0921,Pilar,Gonzales,Region IV-B,53,7,Bachelor of Secondary Education,Chemistry,Physics,Level 1,High
2026-STAR-0922,Ricardo,Villanueva,Region IV-A,38,7,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0923,Maria,Torres,BARMM,32,8,Master of Arts in Ed,Biology,Physics,Level 1,High
2026-STAR-0924,Pilar,Mendoza,Region X,41,19,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0925,Carmen,Cruz,Region VII,36,10,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
2026-STAR-0926,Sofia,Gomez,Region III,27,24,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0927,Carmela,Torres,Region V,38,7,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0928,Carmela,Aquino,CAR,35,21,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0929,Carlos,Santos,Region XIII,39,4,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0930,Lourdes,Fernandez,Region IX,43,3,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0931,Antonio,Dela Cruz,Region II,50,6,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0932,Maria,Navarro,Region IV-B,28,14,Master of Arts in Ed,Unrelated / Not Specified,Physics,Level 2,High
2026-STAR-0933,Ana,Alvarez,Region III,46,28,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0934,Roberto,Gonzales,Region VI,36,32,BS Science,Unrelated / Not Specified,Biology,Level 3,High
2026-STAR-0935,Ana,Santos,BARMM,38,9,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0936,Pilar,Gonzales,NCR,53,24,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0937,Lourdes,Aquino,Region XII,42,21,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0938,Manuel,Rizal,Region IV-A,42,12,Bachelor of Secondary Education,Unrelated / Not Specified,Biology,Level 2,High
2026-STAR-0939,Carlos,Aquino,Region III,34,27,Master of Arts in Ed,Unrelated / Not Specified,Biology,Level 2,High
2026-STAR-0940,Luz,Gomez,CAR,47,15,BS Science,Mathematics,Chemistry,Level 1,High
2026-STAR-0941,Lourdes,Cruz,Region IV-B,27,15,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0942,Pedro,Dela Cruz,Region II,47,29,BS Science,Unrelated / Not Specified,Biology,Level 1,High
2026-STAR-0943,Pilar,Ramos,CAR,29,7,PhD STEM,Physics,Chemistry,Level 1,High
2026-STAR-0944,Antonio,Garcia,Region IV-A,55,28,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0945,Teresa,Lopez,Region III,32,5,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0946,Ricardo,Reyes,Region IV-B,25,25,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0947,Rosa,Ramos,CAR,39,11,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0948,Ricardo,Garcia,NCR,25,30,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0949,Miguel,Torres,CAR,36,25,Bachelor of Secondary Education,Unrelated / Not Specified,Biology,Level 3,High
2026-STAR-0950,Ramon,Gonzales,Region IV-B,34,10,BS Science,Mathematics,Mathematics,Level 2,Low
2026-STAR-0951,Ana,Garcia,Region III,42,19,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0952,Sofia,Cruz,Region IX,41,30,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0953,Teresa,Rizal,Region IV-B,24,19,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0954,Jose,Reyes,Region I,47,4,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0955,Sofia,Perez,Region VII,34,10,PhD STEM,Chemistry,Physics,Level 1,High
2026-STAR-0956,Ana,Dela Cruz,Region XI,24,23,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0957,Pedro,Tolentino,Region VI,41,6,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0958,Manuel,Rodriguez,Region IX,50,16,BS Science,Unrelated / Not Specified,Mathematics,Level 3,High
2026-STAR-0959,Pilar,Rizal,Region XI,29,13,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0960,Manuel,Navarro,Region VIII,30,2,PhD STEM,Unrelated / Not Specified,Chemistry,Level 1,High
2026-STAR-0961,Antonio,Perez,Region IV-B,54,23,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0962,Rosa,Aquino,Region I,53,8,BS Science,Unrelated / Not Specified,Chemistry,Level 3,High
2026-STAR-0963,Ramon,Torres,CAR,29,30,Bachelor of Secondary Education,Chemistry,Mathematics,Level 1,High
2026-STAR-0964,Ricardo,Rizal,Region IV-A,47,4,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0965,Roberto,Dela Cruz,Region II,42,28,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0966,Ricardo,Fernandez,Region XII,29,12,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0967,Jose,Gomez,Region IV-B,35,14,PhD STEM,Unrelated / Not Specified,Biology,Level 1,High
2026-STAR-0968,Sofia,Dela Cruz,CAR,41,8,Master of Arts in Ed,Unrelated / Not Specified,Chemistry,Level 3,High
2026-STAR-0969,Carlos,Perez,Region VIII,23,7,Bachelor of Secondary Education,General Science,Physics,Level 1,High
2026-STAR-0970,Carmela,Navarro,NCR,47,8,Bachelor of Secondary Education,Physics,Mathematics,Level 1,High
2026-STAR-0971,Juan,Gomez,BARMM,36,0,PhD STEM,Chemistry,Physics,Level 1,High
2026-STAR-0972,Eduardo,Lopez,Region VI,35,5,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0973,Jose,Garcia,CAR,45,5,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0974,Carlos,Gomez,Region IV-A,51,11,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0975,Luz,Reyes,Region IV-B,31,11,PhD STEM,Mathematics,Biology,Level 1,High
2026-STAR-0976,Antonio,Reyes,Region II,49,25,Bachelor of Secondary Education,Unrelated / Not Specified,Chemistry,Level 1,High
2026-STAR-0977,Lourdes,Navarro,NCR,48,18,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0978,Beatriz,Perez,Region VI,56,6,Master of Arts in Ed,Unrelated / Not Specified,General Science,Level 3,High
2026-STAR-0979,Lourdes,Mendoza,Region I,55,9,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0980,Roberto,Aquino,Region IV-B,34,31,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0981,Luis,Rizal,Region II,47,19,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0982,Rosa,Fernandez,Region VII,38,20,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0983,Sofia,Perez,BARMM,34,0,PhD STEM,Physics,Chemistry,Level 1,High
2026-STAR-0984,Carmen,Rodriguez,NCR,31,21,Master of Arts in Ed,Unrelated / Not Specified,Chemistry,Level 3,High
2026-STAR-0985,Elena,Dela Cruz,Region I,41,30,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0986,Ana,Rizal,NCR,55,12,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0987,Ramon,Lopez,Region II,45,29,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0988,Antonio,Ramos,Region XIII,42,30,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0989,Maria,Villanueva,Region VI,31,30,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0990,Ana,Tolentino,Region VIII,21,0,Master of Arts in Ed,Mathematics,Chemistry,Level 1,High
2026-STAR-0991,Elena,Bautista,Region I,28,31,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0992,Sofia,Torres,Region XII,45,11,Bachelor of Secondary Education,Chemistry,Mathematics,Level 1,High
2026-STAR-0993,Sofia,Rizal,Region IX,23,29,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0994,Ana,Tolentino,Region III,56,10,PhD STEM,Unrelated / Not Specified,General Science,Level 3,High
2026-STAR-0995,Lourdes,Gonzales,Region XIII,34,26,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0996,Luis,Lopez,NCR,52,3,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0997,Luis,Rodriguez,NCR,49,24,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0998,Ricardo,Gonzales,NCR,46,14,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0999,Ricardo,Aquino,Region IX,26,23,BS Science,General Science,General Science,Level 2,Low
